Building IRN,Building Name,District IRN,District Name,County,Region,Address,"City, State, Zip Code",Phone #,Principal,Performance Index Score 2016-17,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus,Performance Index Score 2015-16,Performance Index Score 2014-15,Watermark
021170,Lockland Elementary School,044230,Lockland Local,Hamilton,Region 13,200 N Cooper Ave,"Lockland, OH, 45215-3011",(513) 563-5000,Robert J. Longworth,60.170,50.1,D,0.0,46.0,22.7,19.3,9.4,2.3,0.3,NC,NC,0.0,0.0,0.0,0.0,0.0,50.0,50.0,56.305,57.593,
021188,Lockland High School,044230,Lockland Local,Hamilton,Region 13,249 W Forrer St,"Lockland, OH, 45215-3014",(513) 563-5000,Robert J. Longworth,61.140,50.9,D,0.0,42.0,26.4,23.8,4.7,3.1,0.0,NC,NC,0.0,0.0,0.0,0.0,100.0,0.0,0.0,57.100,81.163,
021204,Rodger O. Borror Middle School,045112,Wilmington City,Clinton,Region 14,275 Thorne Ave,"Wilmington, OH, 45177-1217",(937) 382-7556,Jeffrey P. Sherby,81.598,68.0,D,0.2,22.6,18.0,24.8,20.9,13.0,0.5,114.400,95.3,0.0,1.3,0.7,8.7,27.3,57.3,4.7,79.596,84.561,
021212,Logan Elm High School,049080,Logan Elm Local,Pickaway,Region 11,9575 Tarlton Rd,"Circleville, OH, 43113-9448",(740) 474-7503,Nathan A. Smith,84.754,70.6,C,0.2,13.1,23.3,36.2,20.5,6.6,0.2,109.259,91.0,0.0,0.0,3.7,29.6,29.6,33.3,3.7,81.241,95.048,
021220,Benjamin Logan High School,048074,Benjamin Logan Local,Logan,Region 6,6609 State Route 47 E,"Bellefontaine, OH, 43311-9527",(937) 592-1666,Mark Butler,83.485,69.6,D,0.0,15.9,24.3,30.5,18.6,7.4,3.3,121.290,101.1,0.0,0.0,0.0,6.5,19.4,29.0,45.2,80.534,99.130,
021246,Logan High School,044248,Logan-Hocking Local,Hocking,Region 16,14470 State Route 328,"Logan, OH, 43138-9444",(740) 385-2069,Kenneth D. Dille,76.631,63.9,D,0.2,23.0,26.0,27.9,13.6,8.5,0.8,111.402,92.8,0.0,0.9,2.8,16.8,34.6,37.4,7.5,72.985,92.935,
021253,Lohr Elementary School,049924,Perry Local,Stark,Region 9,5300 Richville Dr SW,"Navarre, OH, 44662-9765",(330) 484-3924,Nicholas A. Huskins,96.531,80.4,B,0.0,10.3,11.8,23.2,24.4,30.3,0.0,116.429,97.0,0.0,0.0,1.4,2.9,21.4,74.3,0.0,94.493,97.384,
021279,Lomond Elementary School,044750,Shaker Heights City,Cuyahoga,Region 3,17917 Lomond Blvd,"Shaker Heights, OH, 44122-5009",(216) 295-4050,Carina R. Robinson,91.212,76.0,C,0.0,13.5,14.7,25.4,27.7,18.2,0.5,119.524,99.6,0.0,0.0,0.0,4.8,4.8,81.0,9.5,89.528,91.105,
021287,London High School,044255,London City,Madison,Region 11,336 Elm St,"London, OH, 43140-9220",(740) 852-5705,Chadwick R. Eisler,89.350,74.5,C,0.0,9.6,19.1,43.7,19.3,7.5,0.8,117.273,97.7,0.0,0.0,0.0,9.1,27.3,45.5,18.2,78.582,96.818,
021295,Southeastern Elementary School,049528,Southeastern Local,Ross,Region 15,2003 Lancaster Rd,"Chillicothe, OH, 45601-8213",(740) 774-2003,Nicole M. Wills,90.544,75.5,C,0.0,16.3,11.8,22.2,32.4,17.2,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.415,88.147,
021311,Longcoy Elementary School,044164,Kent City,Portage,Region 8,1069 Elno Ave,"Kent, OH, 44240-3361",(330) 673-6772,Janice Swan,98.457,82.0,B,0.0,8.6,11.9,17.8,31.2,30.6,0.0,118.462,98.7,0.0,0.0,0.0,0.0,15.4,84.6,0.0,95.972,102.651,
021329,Longfellow Elementary School,043992,Fostoria City,Seneca,Region 1,619 Sandusky St,"Fostoria, OH, 44830-2717",(419) 436-4135,Kelli D. Bauman,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
021337,Longfellow Elementary School,044784,Sidney City,Shelby,Region 6,1250 Park St,"Sidney, OH, 45365-1143",(937) 497-2264,Francine A. Dembski,81.895,68.2,D,0.0,20.5,21.3,23.2,22.4,12.4,0.3,NC,NC,0.0,0.0,0.0,0.0,0.0,88.9,11.1,80.169,84.885,
021378,Longfellow Elementary School,045104,Willoughby-Eastlake City,Lake,Region 4,35200 Stevens Blvd,"Eastlake, OH, 44095-2336",(440) 975-3720,Allison P. Aber,86.219,71.8,C,1.4,14.8,17.8,28.4,23.6,13.9,0.0,113.810,94.8,0.0,0.0,2.4,14.3,19.0,64.3,0.0,84.448,90.659,
021386,Longfellow Elementary School,044909,Toledo City,Lucas,Region 1,1955 W Laskey Rd,"Toledo, OH, 43613-3527",(419) 671-3800,Yolanda N. Johnson,76.878,64.1,D,0.3,25.2,21.8,27.1,16.7,9.1,0.0,106.296,88.6,0.0,7.4,3.7,11.1,25.9,51.9,0.0,75.000,80.620,Educator and principal data may be incomplete due to local reporting error. Contact district for more information.
021394,Longfellow Alternative School,043844,Dayton City,Montgomery,Region 10,245 Salem Ave,"Dayton, OH, 45406-5806",(937) 223-8239,Jack Johnson,NC,NC,NR,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.607,NC,
021469,Lordstown Elementary School,050203,Lordstown Local,Trumbull,Region 5,1776 Salt Springs Rd,"Warren, OH, 44481-9735",(330) 824-2572,James M. Vivo,105.556,88.0,B,0.0,5.0,5.6,17.0,33.3,38.3,0.9,119.286,99.4,0.0,0.0,0.0,0.0,14.3,78.6,7.1,106.816,103.246,
021477,Lordstown High School,050203,Lordstown Local,Trumbull,Region 5,1824 Salt Springs Rd,"Warren, OH, 44481-9735",(330) 824-2581,James M. Vivo,92.066,76.7,C,0.0,7.9,19.9,32.1,26.0,12.5,1.5,114.348,95.3,0.0,0.0,0.0,14.5,36.2,40.6,8.7,88.103,97.913,
021519,Loudonville High School,045468,Loudonville-Perrysville Exempted Village,Ashland,Region 7,421 Campus Ave,"Loudonville, OH, 44842-1104",(419) 994-4101,John D. Lance,83.945,70.0,C,0.3,14.4,24.2,34.6,14.1,11.9,0.6,117.895,98.2,0.0,0.0,0.0,5.3,15.8,73.7,5.3,82.991,98.706,
021527,Louis Agassiz School,043786,Cleveland Municipal,Cuyahoga,Region 3,3595 Bosworth Rd,"Cleveland, OH, 44111-6036",(216) 838-6450,,65.161,54.3,D,1.4,30.0,34.8,22.6,8.3,3.0,0.0,75.000,62.5,0.0,30.0,20.0,30.0,0.0,20.0,0.0,53.625,72.716,
021543,Franklin D. Roosevelt,043786,Cleveland Municipal,Cuyahoga,Region 3,800 Linn Dr,"Cleveland, OH, 44108-2755",(216) 838-2200,Sherie S. Turner,44.894,37.4,F,0.8,65.1,22.9,7.5,2.5,1.1,0.0,NC,NC,0.0,16.7,0.0,50.0,16.7,16.7,0.0,42.898,56.536,
021550,Louisa May Alcott Elementary School,043786,Cleveland Municipal,Cuyahoga,Region 3,10308 Baltic Rd,"Cleveland, OH, 44102-1631",(216) 838-6500,Eileen M. Stull Mangan,86.938,72.4,C,0.0,17.4,14.7,31.0,23.3,13.6,0.0,94.000,78.3,0.0,12.9,11.4,21.4,32.9,21.4,0.0,84.326,89.708,
021568,Louisville Elementary School,049874,Louisville City,Stark,Region 9,415 N Nickelplate St,"Louisville, OH, 44641-1567",(330) 875-1177,MICHAEL T. NORRIS,102.192,85.2,B,0.0,6.1,8.6,20.6,30.8,33.7,0.2,119.200,99.3,0.0,0.0,0.0,1.6,8.0,87.2,3.2,102.367,101.237,
021576,Louisville High School,049874,Louisville City,Stark,Region 9,1201 S Nickelplate St,"Louisville, OH, 44641-2664",(330) 875-1438,Kenneth J. Faye,90.564,75.5,C,0.7,8.6,17.8,39.4,22.6,10.9,0.0,113.276,94.4,0.0,0.0,0.0,15.5,36.2,48.3,0.0,85.525,102.574,
021584,Louisville Middle School,049874,Louisville City,Stark,Region 9,1300 S Chapel St,"Louisville, OH, 44641-2323",(330) 875-5597,Jason V. Orin,92.354,77.0,C,0.0,11.0,16.1,27.2,26.9,18.8,0.1,115.789,96.5,0.0,0.0,0.4,4.9,30.4,64.0,0.4,90.440,91.629,
021592,Loveland Middle School,044271,Loveland City,Hamilton,Region 13,801 S Lebanon Rd,"Loveland, OH, 45140-9390",(513) 683-3100,Christopher M. Burke,86.876,72.4,C,8.0,8.8,13.5,24.5,26.7,17.8,0.7,111.781,93.2,2.3,0.0,1.0,9.7,32.6,51.1,3.3,76.123,74.750,
021600,Loveland High School,044271,Loveland City,Hamilton,Region 13,1 Tiger Trl,"Loveland, OH, 45140-1975",(513) 683-1920,Christopher J. Kloesz,91.465,76.2,C,1.4,8.7,16.3,34.6,23.4,15.5,0.1,111.326,92.8,0.8,0.4,2.7,14.0,30.3,51.9,0.0,84.382,100.522,
021618,Loveland Primary School,044271,Loveland City,Hamilton,Region 13,550 Loveland Madeira Rd,"Loveland, OH, 45140-2714",(513) 683-3101,Kevin A. Fancher,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
021659,Stevan Dohanos Elementary School,044263,Lorain City,Lorain,Region 2,1625 E 32nd St,"Lorain, OH, 44055-1711",(440) 277-1008,Sean J. Wolanin,71.260,59.4,D,0.8,28.6,26.0,25.6,13.7,5.3,0.0,NC,NC,0.0,0.0,0.0,30.8,30.8,38.5,0.0,67.373,79.126,
021675,Lowell Elementary School,050484,Fort Frye Local,Washington,Region 16,305 Market St,"Lowell, OH, 45744-7553",(740) 896-2523,Krista L. Ross,90.546,75.5,C,0.0,10.9,18.5,31.5,22.7,16.0,0.4,NC,NC,0.0,0.0,6.7,13.3,46.7,33.3,0.0,86.404,98.649,
021683,Lowellville High School,048330,Lowellville Local,Mahoning,Region 5,52 Rocket Place,"Lowellville, OH, 44436",(330) 536-8426,Dennis A. Hynes,85.891,71.6,C,0.0,15.0,20.4,30.5,22.7,11.4,0.0,114.375,95.3,0.0,0.0,0.0,12.5,31.3,56.3,0.0,85.275,96.659,
021709,Lucas Elementary School,049445,Lucas Local,Richland,Region 7,84 Lucas North Rd,"Lucas, OH, 44843-9532",(419) 892-2338,Kari E. Case,92.430,77.0,C,0.0,12.0,12.3,33.5,27.1,15.1,0.0,111.111,92.6,0.0,0.0,0.0,29.6,29.6,40.7,0.0,89.096,92.308,
021717,Lucas High School,049445,Lucas Local,Richland,Region 7,5 1st Ave,"Lucas, OH, 44843-9703",(419) 892-2338,Eric P. Teague,81.744,68.1,D,0.0,20.1,20.1,30.5,20.6,8.7,0.0,106.154,88.5,0.0,3.8,3.8,23.1,34.6,34.6,0.0,79.624,98.058,
021725,Luckey Elementary School,050674,Eastwood Local,Wood,Region 1,4700 Sugar Ridge Rd,"Pemberville, OH, 43450-9752",(419) 287-3200,Joe Wank,103.346,86.1,B,0.0,6.2,6.9,18.8,32.7,34.6,0.8,118.148,98.5,0.0,0.0,0.0,0.0,25.9,66.7,7.4,98.140,100.611,
021766,Kean Elementary School,045120,Wooster City,Wayne,Region 9,432 Oldman Rd,"Wooster, OH, 44691-8540",(330) 345-6634,BRANDON R. COBB,97.593,81.3,B,0.0,9.2,10.9,22.6,30.9,26.4,0.0,116.333,96.9,0.0,0.0,0.0,3.3,30.0,66.7,0.0,95.994,97.380,
021774,Lutz Elementary School,044016,Fremont City,Sandusky,Region 1,1929 Buckland Ave,"Fremont, OH, 43420-3505",(419) 332-0091,Randall S. Macko,92.110,76.8,C,0.3,10.7,15.6,30.1,25.4,17.9,0.0,119.091,99.2,0.0,0.0,0.0,0.0,9.1,90.9,0.0,81.738,90.845,
021816,Lynchburg-Clay High School,047639,Lynchburg-Clay Local,Highland,Region 14,6762 State Route 134,"Lynchburg, OH, 45142-9154",(937) 364-2250,Linda E. Hatten,78.306,65.3,D,0.0,18.9,29.4,28.1,14.4,8.9,0.3,114.211,95.2,0.0,0.0,0.0,5.3,52.6,36.8,5.3,70.970,100.249,
021857,John P Parker Elementary School,043752,Cincinnati City,Hamilton,Region 13,5051 Anderson Pl,"Cincinnati, OH, 45227-1601",(513) 363-2900,Kimberly R. Mack,84.892,70.7,C,0.8,15.4,21.9,25.1,21.1,15.7,0.0,NC,NC,0.0,0.0,0.0,22.2,11.1,66.7,0.0,67.386,75.753,
021931,Spinning Hills Middle School (5-6),048702,Mad River Local,Montgomery,Region 10,5001 Eastman Ave,"Dayton, OH, 45432-1437",(937) 259-6635,Michael G. Combs,79.448,66.2,D,0.0,22.4,22.1,26.1,19.0,10.2,0.2,112.911,94.1,0.0,0.0,5.1,8.9,26.6,55.7,3.8,77.033,82.933,
021949,Maddux Elementary School,047340,Forest Hills Local,Hamilton,Region 13,943 Rosetree Ln,"Cincinnati, OH, 45230-4038",(513) 231-0780,Stephen D. Troehler,101.581,84.7,B,0.1,6.7,9.6,18.7,28.0,36.2,0.6,119.054,99.2,0.0,0.0,0.0,0.7,12.2,83.1,4.1,100.860,101.457,
021956,Madeira High School,044289,Madeira City,Hamilton,Region 13,7465 Loannes Dr,"Cincinnati, OH, 45243-1851",(513) 891-8222,David L. Kennedy,107.008,89.2,B,0.0,1.6,5.8,26.0,30.4,34.9,1.3,117.204,97.7,0.0,0.0,0.0,5.4,22.6,66.7,5.4,104.897,112.336,
021964,Madison Avenue Elementary School,047894,Riverside Local,Lake,Region 4,845 Madison Ave,"Painesville, OH, 44077-5413",(440) 357-6171,Traci L. Shantery,102.396,85.3,B,0.0,6.8,8.6,18.0,27.2,39.3,0.0,119.487,99.6,0.0,0.0,0.0,0.0,5.1,94.9,0.0,94.571,98.082,
022038,Madison Middle School,047886,Madison Local,Lake,Region 4,6079 Middle Ridge Rd,"Madison, OH, 44057-2805",(440) 428-1196,Thomas V. Brady,85.707,71.4,C,0.5,16.1,18.7,28.5,23.2,12.3,0.6,114.067,95.1,0.0,0.0,0.7,12.0,35.3,48.0,4.0,84.503,88.114,
022046,Madison Elementary School,046979,Groveport Madison Local,Franklin,Region 11,4600 Madison School Dr,"Columbus, OH, 43232-5722",(614) 833-2011,Tricia A. Faulkner,73.803,61.5,D,0.0,27.6,23.8,28.9,13.2,6.6,0.0,107.143,89.3,0.0,0.0,7.1,21.4,42.9,28.6,0.0,71.417,77.773,
022053,Licking Valley Elementary School,048017,Licking Valley Local,Licking,Region 11,1510 Licking Valley Rd NE,"Newark, OH, 43055-8857",(740) 763-3525,Sherry K. Crum,89.738,74.8,C,0.0,12.0,18.7,28.8,25.6,13.7,1.1,109.744,91.5,0.0,0.9,4.3,17.9,38.4,33.8,4.8,90.576,90.843,
022061,Madison Junior High,046128,Madison Local,Butler,Region 13,5795 W Alexandria Rd,"Middletown, OH, 45042-8900",(513) 420-4760,Justin K. Smith,84.168,70.1,C,0.7,17.0,19.1,29.9,23.3,8.9,1.1,116.585,97.2,0.0,0.0,2.4,2.4,29.3,51.2,14.6,82.708,88.725,
022087,Madison High School,046128,Madison Local,Butler,Region 13,5797 W Alexandria Rd,"Middletown, OH, 45042-8900",(513) 420-4760,Justin K. Smith,84.682,70.6,C,0.2,10.9,26.7,35.9,20.9,5.1,0.2,111.905,93.3,0.0,0.0,0.0,19.0,45.2,33.3,2.4,78.764,101.958,
022095,Buckeye Trail Elementary,069682,East Guernsey Local,Guernsey,Region 12,65553 Wintergreen Rd,"Lore City, OH, 43755-9715",(740) 489-5100,Casey L. Tolzda,89.010,74.2,C,0.7,13.0,17.6,26.1,27.5,15.0,0.2,115.385,96.2,0.0,0.0,0.0,7.7,30.8,61.5,0.0,83.993,89.561,
022103,Madison Middle School,049452,Madison Local,Richland,Region 7,1419 Grace St,"Mansfield, OH, 44905-2742",(419) 522-0471,Jonathan M. Muro,90.360,75.3,C,0.2,12.4,17.3,27.6,24.5,17.0,1.1,116.279,96.9,0.0,1.6,1.6,3.1,18.6,64.3,10.9,85.019,87.839,
022111,Madison High School,047886,Madison Local,Lake,Region 4,3100 Burns Rd,"Madison, OH, 44057-2826",(440) 428-2161,"William J. Fisher, Jr.",86.457,72.0,C,0.0,12.3,22.3,37.6,16.3,10.8,0.7,110.208,91.8,0.0,0.0,2.1,31.3,25.0,39.6,2.1,77.897,98.036,
022152,Madison South Elementary School,049452,Madison Local,Richland,Region 7,700 S Illinois Ave,"Mansfield, OH, 44907-1835",(419) 522-4319,Wendy C. Scholl,88.791,74.0,C,0.0,15.5,15.5,26.7,25.5,16.7,0.0,NC,NC,0.0,0.0,0.0,0.0,28.6,71.4,0.0,87.151,91.667,
022160,Madison-Plains High School,048272,Madison-Plains Local,Madison,Region 11,800 Linson Rd,"London, OH, 43140-9751",(740) 852-0364,Matthew C. Unger,84.153,70.1,C,0.3,14.5,23.2,36.1,14.5,10.4,1.1,113.103,94.3,0.0,0.0,0.0,17.2,41.4,34.5,6.9,75.973,100.882,
022178,Madison High School,049452,Madison Local,Richland,Region 7,600 Esley Ln,"Mansfield, OH, 44905-2718",(419) 589-2112,Robert S. Peterson,85.242,71.0,C,0.1,13.9,20.6,41.5,14.7,9.2,0.0,112.083,93.4,0.0,0.0,0.0,20.8,37.5,41.7,0.0,73.175,94.031,
022186,Trotwood-Madison High School,048694,Trotwood-Madison City,Montgomery,Region 10,4440 N Union Rd,"Trotwood, OH, 45426-3706",(937) 854-4908,David L. White,55.260,46.1,F,2.3,43.4,31.9,16.9,4.0,1.4,0.0,104.615,87.2,0.0,7.7,0.0,23.1,38.5,30.8,0.0,54.068,82.309,
022244,Mccormick Middle School,045658,Wellington Exempted Village,Lorain,Region 2,627 S Main St,"Wellington, OH, 44090-1345",(440) 647-2342,Craig P. Housum,85.629,71.4,C,0.5,16.5,17.7,31.9,19.3,13.1,0.9,114.167,95.1,0.0,1.2,1.2,14.3,19.0,57.1,7.1,79.930,89.580,
022251,Main Elementary School,047241,Beavercreek City,Greene,Region 10,2942 Dayton Xenia Rd,"Beavercreek, OH, 45434-6306",(937) 429-7588,Sharma L. Nachlinger,105.543,88.0,B,0.0,5.4,6.3,17.1,24.8,45.4,1.0,118.343,98.6,0.0,0.0,0.6,3.6,10.1,81.7,4.1,103.293,103.135,
022293,Maize Road Elementary School,043802,Columbus City,Franklin,Region 11,4360 Maize Rd,"Columbus, OH, 43224-1064",(614) 365-6040,Nichole R. Cavinee,67.305,56.1,D,0.6,33.1,26.6,25.6,10.1,3.9,0.0,NC,NC,0.0,0.0,0.0,14.3,57.1,28.6,0.0,63.932,81.443,
022301,Mansfield Middle School,044297,Mansfield City,Richland,Region 7,124 N Linden Rd,"Mansfield, OH, 44906-2616",(419) 525-6307,Jason D. Goings,63.510,52.9,D,0.0,39.2,26.1,22.4,10.7,1.6,0.0,97.895,81.6,0.0,6.6,7.9,35.5,43.4,6.6,0.0,57.195,68.190,
022319,Patrick Henry Elementary School,047597,Patrick Henry Local,Henry,Region 1,E076 County Road 7,"Hamler, OH, 43524-8700",(419) 274-3015,Bryan M. Hieber,98.490,82.1,B,0.0,7.1,11.7,27.4,26.2,27.6,0.0,118.750,99.0,0.0,0.0,0.0,0.0,12.5,87.5,0.0,100.422,91.279,
022350,Malvern Elementary School,046177,Brown Local,Carroll,Region 12,3242 Coral Rd NW,"Malvern, OH, 44644-9467",(330) 863-1355,Timothy J. Babiczuk,90.395,75.3,C,0.7,12.3,16.5,24.7,28.4,17.4,0.0,111.719,93.1,1.6,0.0,3.1,7.8,29.7,57.8,0.0,81.906,93.528,
022368,Malvern High School,046177,Brown Local,Carroll,Region 12,3242 Coral Rd NW,"Malvern, OH, 44644-9467",(330) 863-1355,Scott M. Bowling,79.064,65.9,D,0.0,24.0,19.9,32.7,9.9,12.3,1.2,NC,NC,0.0,0.0,0.0,0.0,16.7,66.7,16.7,75.155,91.592,
022400,Manchester Middle School,050005,Manchester Local,Summit,Region 8,760 W Nimisila Rd,"Akron, OH, 44319-4621",(330) 882-3812,James C. Miller,96.861,80.7,B,0.5,6.8,14.6,24.0,29.4,24.2,0.6,113.663,94.7,0.0,1.0,1.0,10.4,30.7,54.0,3.0,95.345,102.901,
022418,Manchester High School,050005,Manchester Local,Summit,Region 8,437 W Nimisila Rd,"Akron, OH, 44319-4964",(330) 882-3291,James R. France,89.927,74.9,C,0.0,8.5,20.9,40.8,18.4,10.4,1.0,110.533,92.1,0.0,1.3,1.3,28.0,24.0,40.0,5.3,93.302,105.464,
022459,Mann Elementary School,044818,Springfield City School District,Clark,Region 10,521 Mount Joy St,"Springfield, OH, 45505-2852",(937) 505-4280,Kevin M. Schalnat,76.568,63.8,D,0.0,25.2,22.8,27.6,15.7,8.7,0.0,NC,NC,0.0,0.0,9.1,9.1,36.4,45.5,0.0,74.353,81.239,
022483,Mansfield Senior High School,044297,Mansfield City,Richland,Region 7,124 N Linden Rd,"Mansfield, OH, 44906-2616",(419) 525-6369,Jose A. Hernandez,66.486,55.4,D,0.0,30.4,32.9,29.0,6.2,1.5,0.0,90.377,75.3,0.0,5.7,24.5,37.7,22.6,9.4,0.0,65.913,84.130,
022525,Maple Dale Elementary School,044867,Sycamore Community City,Hamilton,Region 13,6100 Hagewa Dr,"Cincinnati, OH, 45242-6231",(513) 686-1720,Ann Marie Reinke,111.372,92.8,A,0.6,1.9,4.5,11.8,22.7,47.6,10.9,119.449,99.5,0.4,0.0,0.4,4.0,12.1,61.8,21.3,108.133,98.649,
022533,Maple Intermediate Elementary School,044529,North Olmsted City,Cuyahoga,Region 3,24101 Maple Ridge Rd,"North Olmsted, OH, 44070-1356",(440) 779-3533,Demetrios J. Alexandrou,88.027,73.4,C,1.0,14.5,17.0,25.2,25.9,16.2,0.3,116.239,96.9,0.0,0.0,0.9,4.6,25.7,66.1,2.8,88.632,91.076,
022541,Maple Elementary School,047183,Chardon Local,Geauga,Region 4,308 Maple Ave,"Chardon, OH, 44024-1040",(440) 285-4065,Kelly A. Moran,103.350,86.1,B,0.0,4.5,10.1,18.9,27.7,38.5,0.3,118.852,99.0,0.0,0.0,0.0,1.6,8.2,90.2,0.0,102.075,100.025,
022558,Katherine Thomas Elementary School,045666,Windham Exempted Village,Portage,Region 8,9032 Maple Grove Rd,"Windham, OH, 44288-1173",(330) 326-9800,SHERI L. Gross,88.958,74.1,C,1.0,11.1,20.1,23.3,30.6,13.9,0.0,113.182,94.3,0.0,0.0,0.0,9.1,50.0,40.9,0.0,84.426,76.204,
022566,Maple Heights High School,044305,Maple Heights City,Cuyahoga,Region 3,5445 West Blvd,"Maple Heights, OH, 44137-2656",(216) 438-6400,Quarnitra L. Price,53.072,44.2,F,3.1,46.5,29.3,17.3,3.1,0.7,0.0,NC,NC,0.0,9.1,9.1,45.5,27.3,9.1,0.0,54.534,82.287,
022574,Maple Leaf Elementary School,044040,Garfield Heights City Schools,Cuyahoga,Region 3,5764 Turney Rd,"Garfield Heights, OH, 44125-4067",(216) 662-3800,Jean M. Rizi,66.207,55.2,D,0.6,36.9,24.6,18.2,14.8,4.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.010,71.288,
022632,Maplehurst Elementary School,044560,Norwalk City,Huron,Region 2,195 Saint Marys St,"Norwalk, OH, 44857-1654",(419) 668-6035,Kenneth A. Moore,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
022640,Mapleton High School,045831,Mapleton Local,Ashland,Region 7,1 Mountie Dr,"Ashland, OH, 44805-8843",(419) 945-2188,Joseph L. Morabito,83.679,69.7,D,0.7,10.7,28.1,35.5,19.4,5.7,0.0,102.692,85.6,0.0,0.0,15.4,19.2,42.3,23.1,0.0,77.419,95.730,
022657,Maplewood Middle School,050211,Maplewood Local,Trumbull,Region 5,4174 Greenville Rd,"Cortland, OH, 44410-9750",(330) 924-2431,Elizabeth A. Goerig,103.201,86.0,B,0.5,4.0,8.2,24.1,30.4,31.4,1.4,116.071,96.7,0.0,0.0,0.0,6.3,31.3,58.0,4.5,100.906,103.503,
022665,Maplewood Elementary School,044875,Sylvania Schools,Lucas,Region 1,6769 Maplewood Ave,"Sylvania, OH, 43560-1954",(419) 824-8613,John W. Duwve,102.405,85.3,B,0.0,4.8,9.2,25.1,27.3,33.4,0.2,117.910,98.3,0.0,0.0,1.5,1.5,10.4,85.1,1.5,98.062,100.440,
022681,Maplewood High School,050211,Maplewood Local,Trumbull,Region 5,2414 Greenville Rd,"Cortland, OH, 44410-9648",(330) 637-8466,Gordon M. Hitchcock,98.103,81.8,B,0.0,6.2,9.7,37.9,29.7,15.9,0.5,110.851,92.4,0.0,0.0,2.1,23.4,34.0,38.3,2.1,94.170,102.738,
022699,Maplewood Elementary School,050211,Maplewood Local,Trumbull,Region 5,1699 Kinsman Rd NE,"North Bloomfield, OH, 44450-9505",(330) 583-2321,Kevin R. O'Connell,105.810,88.2,B,0.0,3.8,6.7,17.1,33.3,39.0,0.0,NC,NC,0.0,0.0,0.0,8.3,8.3,83.3,0.0,105.795,109.689,
022764,Margaretta High School,046805,Margaretta Local,Erie,Region 2,209 Lowell St,"Castalia, OH, 44824-9332",(419) 684-5351,Rodney R. Smith,80.596,67.2,D,0.8,19.3,21.2,33.1,17.3,8.0,0.3,113.448,94.5,0.0,0.0,2.3,12.6,29.9,51.7,3.4,75.990,91.392,
022772,Mariemont High School,044313,Mariemont City,Hamilton,Region 13,1 Warrior Way,"Cincinnati, OH, 45227-3823",(513) 272-7600,James J. Renner,102.698,85.6,B,0.0,6.0,6.5,26.7,26.7,33.8,0.3,115.313,96.1,0.0,0.0,1.6,9.4,20.3,67.2,1.6,97.429,107.667,
022780,Marietta Middle School,044321,Marietta City,Washington,Region 16,242 N 7th St,"Marietta, OH, 45750-2269",(740) 374-6530,Brittany D. Schob,78.012,65.0,D,0.8,22.4,24.3,23.5,16.9,10.8,1.3,110.705,92.3,0.0,0.0,4.5,20.5,31.4,37.2,6.4,76.796,86.766,
022798,Marietta High School,044321,Marietta City,Washington,Region 16,208 Davis Ave,"Marietta, OH, 45750-1417",(740) 374-6540,Chad L. Rinard,77.939,64.9,D,0.9,19.1,27.4,29.9,14.0,8.7,0.0,102.283,85.2,2.2,2.2,8.7,22.8,33.7,30.4,0.0,75.203,97.452,
022822,Marion Local Elementary School,048553,Marion Local,Mercer,Region 6,7956 State Route 119,"Maria Stein, OH, 45860-9710",(419) 925-4595,Nicholas J. Wilker,107.259,89.4,B,1.5,2.0,5.4,18.2,27.0,41.3,4.5,117.824,98.2,1.9,0.0,0.0,2.3,10.6,69.4,15.7,103.623,77.639,
022855,Marion-Franklin High School,043802,Columbus City,Franklin,Region 11,1265 Koebel Rd,"Columbus, OH, 43207-2620",(614) 365-5432,Gregory M. Costello,44.023,36.7,F,6.1,57.7,24.1,10.3,1.7,0.0,0.0,NC,NC,0.0,0.0,27.3,63.6,9.1,0.0,0.0,45.020,74.247,
022863,Marion Local High School,048553,Marion Local,Mercer,Region 6,1901 State Route 716,"Maria Stein, OH, 45860-9713",(419) 925-4597,Timothy J. Goodwin,105.748,88.1,B,0.0,2.3,5.6,33.2,28.5,23.4,7.0,117.727,98.1,0.0,0.0,2.3,9.1,11.4,56.8,20.5,100.851,97.986,
